VSA_EState4,MinEStateIndex,BCUT2D_MRHI,BCUT2D_LOGPHI,SMR_VSA10,MinAbsEStateIndex,MolLogP,FpDensityMorgan2,VSA_EState6,MaxAbsEStateIndex,FpDensityMorgan3,TPSA,Kappa3,MolMR,EState_VSA2,Chi0,BCUT2D_LOGPLOW,EState_VSA3,Chi2v,MolWt,BCUT2D_MWHI,PEOE_VSA1,BCUT2D_CHGLO,BalabanJ,MaxPartialCharge,SlogP_VSA2,qed,AvgIpc,MinPartialCharge,BCUT2D_MWLOW,Kappa2,Chi4v,Chi0v,Chi4n,NHOHCount,NumAromaticCarbocycles,VSA_EState3,Chi3v,Chi1v,BCUT2D_MRLOW,MinAbsPartialCharge,BCUT2D_CHGHI,PEOE_VSA7,VSA_EState5,MaxAbsPartialCharge,HeavyAtomMolWt,SlogP_VSA6,EState_VSA10,conductivity_class
3.67047792,-0.404338042,7.576273795,2.527166706,89.10264069,0.333453851,6.2567,0.695652174,10.79612819,10.5299122,1.0,222.2,3.22205751,170.9524,22.99804733,31.7559014,-2.012635851,77.39464626,11.78009025,652.626,32.14075998,49.98641845,-2.165360113,1.479528198,0.159051586,58.73349842,0.097923737,3.801590131,-0.504243464,10.10714431,8.677826152,7.35395136,24.32928223,6.253956065,8.0,5.0,85.37364822,9.293847839,14.83461474,0.404423938,0.159051586,2.310517995,24.26546827,-3.153095357,0.504243464,636.498,57.25633513,40.85221916,Class_0
0.0,-0.334523075,6.263049358,2.448460176,32.31734529,0.334523075,3.3798,0.416666667,8.040668934,9.820161775,0.541666667,121.38,1.765380917,88.9488,34.497071,17.17084392,-1.849451075,32.31734529,5.659518678,324.288,16.31007882,30.63916437,-2.131227141,2.397005548,0.157557626,30.63916437,0.217758796,2.530208529,-0.504244761,9.928829396,4.483195416,3.067485608,12.14738319,3.067485608,6.0,4.0,61.96646951,4.214660179,7.055742402,0.403884721,0.157557626,2.156552948,68.7155477,-2.007138448,0.504244761,312.192,36.39820241,30.63916437,Class_1
17.31088908,-0.587168577,6.340502654,2.52451815,49.37950411,0.186657218,2.1264,0.666666667,3.570663265,10.05830425,0.888888889,199.44,1.872323703,102.186,49.37950411,19.78157438,-1.972015219,0.0,6.241605136,369.333,16.3112411,47.8401668,-2.180044366,2.528924048,0.181158335,30.63916437,0.126403532,2.614213216,-0.504189363,9.900594409,4.944717801,3.498150439,13.64738319,3.498150439,12.0,4.0,61.45332278,4.760427559,7.689716998,0.405773491,0.181158335,2.231717633,34.35777385,-3.334875126,0.504189363,354.213,18.19910121,30.63916437,Class_2
34.0,0.179814815,6.019830862,2.393602351,34.12431765,0.179814815,-0.8202,0.416666667,0.0,5.486851852,0.5,156.12,0.815105762,52.9164,34.12431765,9.464101615,-2.100569729,0.0,2.482050808,168.204,14.85093307,34.40200486,-2.126319832,3.603567451,0.082530878,0.0,0.277734269,2.081571824,-0.395254925,10.12205157,2.260633977,0.870512702,6.464101615,0.870512702,12.0,1.0,0.0,1.741025404,3.232050808,1.612554544,0.082530878,2.120761544,0.0,0.0,0.395254925,156.108,0.0,0.0,Class_2
0.0,-0.295434146,7.312469784,2.649924398,94.52722242,0.295434146,5.3373,0.444444444,0.0,10.57079011,0.592592593,121.38,1.189295356,108.6558,34.497071,18.51362519,-1.82083063,60.51686479,9.684434054,414.441,32.13587979,30.63916437,-2.098779303,2.100773852,0.176783547,30.63916437,0.14719487,3.32323296,-0.503232927,9.928829396,3.86226883,7.979992399,15.35751619,4.370407663,6.0,4.0,67.53107285,9.047697497,10.2658754,0.413320389,0.176783547,2.335038588,0.0,-1.772604875,0.503232927,408.393,0.0,30.63916437,Class_1
0.166666667,-1.063019652,5.910581912,2.032250721,11.93861058,0.083333333,1.083,1.083333333,5.022962963,10.33465372,1.25,74.6,1.601892952,40.3606,11.12690298,9.137828202,-1.989955982,0.0,2.187655398,166.132,16.36879467,10.21305479,-1.942097043,3.006149834,0.335179028,22.15166537,0.688908808,2.042910953,-0.477639246,10.13634719,3.04193048,0.755381829,6.020324849,0.755381829,2.0,1.0,16.9337689,1.37880133,3.176829091,0.068094337,0.335179028,2.042724159,24.26546827,-2.126039305,0.477639246,160.084,24.26546827,9.589074368,Class_0
-1.841623992,-0.613874664,6.425393069,2.461910966,64.63469057,0.005324232,3.2334,0.5,6.66742221,13.65998011,0.722222222,172.59,2.086028089,133.8348,64.63469057,25.36699634,-1.993319641,0.0,8.896891113,480.384,16.31039531,30.63916437,-2.026616651,1.996608099,0.19459155,30.63916437,0.178199306,3.369147275,-0.504244737,9.989180374,6.02460803,5.557764128,17.87212806,5.557764128,6.0,7.0,61.42304414,7.067222552,10.66811484,0.40468149,0.19459155,2.282235542,52.55687505,-3.228782678,0.504244737,468.288,50.78181396,45.02277592,Class_1
0.291549009,-0.487961913,6.357664371,2.472050086,76.20118047,0.072887252,7.026,0.354166667,16.69054403,14.30278512,0.5,195.98,3.396929122,178.1034,22.25380597,33.49638837,-2.206573629,64.63469057,12.09102454,636.568,16.31391906,40.85221916,-2.21613778,1.401656848,0.194058947,52.41870905,0.063221647,3.058092116,-0.504244761,9.791860533,8.859140091,7.222295951,24.32240858,7.222295951,8.0,8.0,88.05785145,9.493774387,14.6253059,0.097939784,0.194058947,2.321346995,137.4310954,-4.312181389,0.504244761,616.408,72.79640482,50.44129353,Class_1
19.35333333,-0.690185185,6.23159822,2.112627508,11.56648989,0.341018519,-2.6038,0.75,0.0,11.01351852,0.916666667,138.22,0.815105762,40.8156,22.78815725,9.464101615,-2.365913337,0.0,2.312948829,168.156,16.14597776,22.93466991,-2.129675136,3.316452212,0.228256039,11.56648989,0.292315581,2.081571824,-0.393696755,10.01172774,2.260633977,0.779421671,6.125897658,0.779421671,8.0,0.0,0.0,1.558843341,3.062948829,-0.11628959,0.228256039,2.279190245,0.0,-1.38037037,0.393696755,160.092,22.78815725,9.589074368,Class_0
3.701958997,-0.319194264,7.327237955,2.564309841,32.07341159,0.277196682,7.2756,0.6,17.81951738,10.32265822,0.9,161.84,4.063343324,154.7644,45.99609467,28.29179978,-1.816889654,43.13500334,11.12583627,572.616,32.1361686,40.85221916,-2.092871604,1.735610503,0.157541255,40.85221916,0.102252236,3.469169976,-0.504259628,9.986324258,9.296201966,7.506895037,21.95540174,4.552380751,8.0,4.0,80.85644352,9.167964327,13.44047961,0.40369977,0.157541255,2.259403775,82.91747665,-2.380852839,0.504259628,552.456,72.79640482,40.85221916,Class_1
